country,continent,Population,Land Area (P/KM2),1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,Asia,"42,647,492","652,860",481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,482,483,484,485,486,487,488,490,491,492,493,494,495,496,497,498,500,501,502,503,504,505,506,508,509,510,511,512,513,515,516,517,518,519,520,522,523,524,525,526,528,529,530,531,532,534,535,536,537,538,540,541,542,543,544,546,547,548,549,549,556,563,571,578,585,592,600,607,615,623,631,639,647,655,663,672,680,689,697,706,715,724,733,743,752,762,771,781,791,801,811,821,832,842,853,863,874,885,897,908,919,931,943,955,967,979,991,1000,1020,1030,1040,1060,1070,1080,1100,1110,1120,1140,1150,1180,1210,1230,1260,1290,1320,1350,1380,1420,1450,1500,1540,1620,1650,1660,1730,1710,1790,1820,1870,1860,1870,1880,1890,1910,1900,1930,1970,1970,1980,1950,1600,1630,1690,1760,1830,1710,1810,1750,1760,2000,2240,2400,2410,2370,2470,2250,2070,1890,1850,1710,1650,1140,855,1280,1220,1180,1130,1090,1070,979,1230,1260,1240,1330,1360,1530,1560,1820,2030,1960,2120,2170,2150,2110,2100,2100,2060,2080,1970,1520,1390,1360,1330,1330,1350,1360,1390,1420,1420,1440,1470,1490,1520,1550,1580,1600,1630,1660,1690,1720,1750,1790,1820,1850,1880,1920,1950,1990,2020,2060,2100,2130,2170,2210,2260,2300,2340,2390,2430,2480,2530,2580,2630,2680,2740,2790,2850,2910,2970,3030,3090,3160,3220,3290,3360,3430,3510,3590,3660,3750,3830,3910,4000,4090,4180,4280,4380,4480,4580,4680,4790,4910,5020,5140,5260,5380,5510,5640,5780
Angola,Africa,"37,885,849","1,246,700",373,374,376,378,379,381,383,385,386,388,389,391,393,395,397,398,400,401,403,405,407,409,410,412,414,416,418,420,421,423,425,427,429,431,433,435,436,438,441,442,444,446,449,450,452,454,456,458,460,462,464,467,468,470,473,474,477,479,481,483,485,487,490,491,494,496,498,500,502,505,507,509,511,514,516,518,520,523,525,528,530,532,534,537,539,541,544,546,549,551,554,556,558,561,563,566,568,571,573,576,578,581,584,586,589,591,594,596,599,602,604,607,610,612,631,650,669,689,709,730,752,776,800,826,852,880,907,936,966,997,1030,1060,1090,1130,1170,1200,1240,1280,1320,1360,1410,1470,1540,1620,1690,1770,1860,1940,2040,2130,2230,2320,2410,2500,2440,2630,2580,2830,2980,2980,3100,3510,3400,3570,3970,4260,4500,4750,4670,4800,5090,5180,5160,5460,5400,4160,3830,3840,3770,3780,3840,3690,3600,3620,3740,3600,3530,3760,4070,4080,4000,4050,3810,2890,2920,3340,3770,4000,4150,4190,4270,4380,4900,4950,5370,6040,6590,7310,7860,7650,7690,7660,8010,8100,8180,7970,7490,7220,6880,6600,6030,5910,5910,5780,5750,5760,5780,5840,5930,6050,5930,6070,6220,6370,6520,6680,6840,7010,7180,7350,7530,7710,7900,8100,8290,8500,8710,8920,9140,9360,9590,9830,10100,10300,10600,10800,11100,11400,11600,11900,12200,12500,12800,13100,13400,13800,14100,14400,14800,15100,15500,15800,16200,16600,17000,17300,17700,18100,18600,19000,19400,19800,20300,20700,21200,21600,22100,22600,23100,23500,24000,24500,25000,25600,26100,26600,27100,27700,28200,28800,29300
Albania,Europe,"2,791,765","27,400",469,471,472,473,475,476,477,479,480,482,483,484,486,487,489,490,491,493,494,496,497,498,500,501,503,504,506,507,508,510,511,513,514,516,517,519,520,522,523,525,526,528,529,531,532,534,535,537,538,540,542,543,545,546,548,549,551,553,554,556,557,559,560,562,564,565,567,569,570,572,573,575,577,578,580,582,583,585,587,588,590,592,594,595,597,599,600,602,604,606,607,609,611,613,614,616,618,620,621,623,625,627,629,630,632,634,636,638,639,641,643,645,647,649,668,688,708,729,751,773,796,820,845,870,896,922,950,978,1010,1040,1070,1100,1130,1170,1200,1240,1270,1310,1350,1390,1430,1480,1530,1580,1630,1680,1740,1790,1850,1910,1980,1970,1970,2060,2130,2250,2280,2430,2550,2660,2800,2830,2940,3040,3160,3280,3410,3560,3690,3830,3980,4110,4240,4390,4440,4500,4560,4620,4690,4760,4820,4950,5000,4990,5010,4930,5060,4990,4900,5160,4750,3460,3260,3600,3910,4410,4830,4330,4750,5410,5840,6390,6710,7130,7560,8030,8560,9140,9910,10300,10700,11100,11200,11400,11600,11900,12300,12800,13300,13700,13300,14600,15500,16200,16800,17400,18100,18700,19400,20000,19400,19800,20200,20700,21100,21600,22100,22600,23000,23500,24000,24500,25000,25500,26100,26600,27100,27700,28200,28800,29300,29900,30500,31000,31600,32200,32800,33400,34000,34500,35200,35800,36400,37000,37600,38200,38800,39400,40100,40700,41300,42000,42600,43200,43800,44500,45100,45700,46400,47000,47600,48300,48900,49500,50100,50800,51400,52000,52600,53200,53800,54500,55100,55700,56300,56900,57400,58000,58600,59200,59800
Andorra,Europe,"81,938",470,1370,1370,1370,1380,1380,1380,1390,1390,1390,1390,1400,1400,1400,1400,1410,1410,1410,1410,1420,1420,1420,1440,1450,1470,1490,1510,1530,1540,1560,1580,1600,1620,1640,1660,1680,1700,1720,1740,1760,1780,1800,1820,1840,1860,1890,1910,1930,1960,1980,2000,2030,2050,2070,2100,2120,2150,2170,2200,2230,2250,2280,2310,2330,2360,2390,2420,2450,2480,2510,2540,2570,2600,2630,2660,2690,2720,2750,2790,2820,2850,2890,2920,2960,2990,3030,3060,3100,3140,3170,3210,3250,3290,3330,3370,3410,3450,3490,3530,3570,3610,3660,3700,3750,3790,3830,3880,3930,3970,4020,4070,4120,4170,4210,4260,4340,4410,4480,4560,4630,4710,4790,4870,4960,5040,5130,5220,5310,5400,5490,5590,5690,5780,5880,5980,6090,6190,6300,6410,6520,6630,6740,6890,7040,7190,7340,7500,7660,7830,8000,8170,8350,9060,9840,10700,11600,12600,13700,14900,16100,17500,19000,20700,22400,24300,26400,28700,31200,33800,36700,39900,43300,43300,44700,46100,46800,45400,45600,45700,45200,44000,43700,42100,41100,40200,39300,38700,38500,39200,39800,40300,40400,40000,39000,37500,37500,38000,39700,43600,45400,47200,47000,47400,47700,51900,54900,60400,65200,66500,63700,64500,60500,60900,57900,55700,56600,56500,57500,56400,56200,56300,49700,52800,56400,55300,55200,55000,54700,54500,54400,54300,52000,52600,53200,53800,54400,55000,55500,56100,56700,57300,57800,58400,59000,59500,60100,60600,61200,61700,62200,62800,63300,63800,64300,64800,65300,65800,66300,66800,67300,67700,68200,68700,69100,69600,70000,70500,70900,71300,71800,72200,72600,73000,73400,73800,74200,74500,74900,75300,75600,76000,76400,76700,77000,77400,77700,78000,78400,78700,79000,79300,79600,79900,80200,80400,80700,81000,81300,81500,81800,82000,82300
UAE,Asia,"11,027,129","83,600",1140,1150,1150,1150,1160,1160,1170,1170,1180,1180,1190,1190,1190,1200,1200,1210,1210,1220,1220,1230,1230,1240,1240,1240,1250,1250,1260,1260,1270,1270,1280,1280,1290,1290,1300,1300,1310,1310,1320,1320,1330,1330,1340,1340,1350,1350,1360,1360,1370,1370,1380,1380,1390,1390,1400,1400,1410,1410,1420,1420,1430,1430,1440,1440,1450,1460,1460,1470,1470,1480,1480,1510,1530,1550,1570,1590,1620,1640,1670,1690,1710,1740,1770,1790,1820,1840,1870,1900,1930,1950,1980,2010,2040,2070,2100,2130,2160,2190,2230,2260,2290,2320,2360,2390,2430,2460,2500,2530,2570,2610,2650,2690,2720,2760,2630,2500,2380,2270,2160,2270,2390,2520,2660,2640,2620,2600,2540,2490,2440,2260,2090,1940,1800,1670,1550,1530,1500,1480,1460,1430,1410,1420,1430,1440,1450,1490,1530,1570,1620,1660,1710,1760,1800,1850,1910,1960,2010,2060,2360,2710,3100,3530,4030,5350,9300,16200,28100,48800,59900,73600,84900,86000,86100,86400,92800,85000,86200,89700,78300,88500,103000,102000,90400,83500,82600,77700,60400,61600,53600,59500,72100,72000,73200,73400,77600,81900,84600,88600,86000,85700,92000,90100,89200,93600,98800,97300,94100,81700,71100,59000,56400,59200,59700,62100,64100,67800,70900,70900,71200,71500,67400,69700,74600,76500,78600,81300,84100,86300,87700,88300,88000,88200,88300,88400,88500,88700,88800,88900,89000,89100,89200,89300,89500,89600,89700,89800,89900,89900,90000,90100,90200,90300,90400,90500,90600,90600,90700,90800,90900,90900,91000,91100,91100,91200,91300,91300,91400,91500,91500,91600,91600,91700,91700,91800,91800,91900,91900,92000,92000,92100,92100,92200,92200,92300,92300,92300,92400,92400,92500,92500,92500,92600,92600,92600,92700,92700,92700,92800,92800,92800,92900
Argentina,South America,"45,696,159","2,736,690",1700,1700,1710,1720,1720,1730,1730,1740,1750,1750,1760,1760,1770,1780,1780,1790,1800,1800,1810,1810,1820,1830,1850,1860,1880,1890,1910,1920,1930,1950,1960,1980,1990,2010,2020,2040,2050,2070,2090,2100,2120,2130,2150,2170,2180,2200,2210,2230,2250,2270,2280,2300,2320,2340,2360,2380,2390,2410,2430,2450,2470,2490,2510,2530,2550,2570,2590,2610,2640,2660,2680,2740,2800,2860,2920,2980,2990,3230,3000,3050,2930,2910,3560,3860,3990,4470,4320,4400,4830,4910,4410,4160,4870,5050,5690,6160,6540,5150,5430,6190,5250,5260,4960,5460,5820,6350,6420,6310,6670,6750,6970,6830,7120,6930,6020,5920,5640,5090,5930,6030,6340,6330,6630,7110,7400,7150,7290,7580,7830,7970,7440,6770,6430,6610,7020,7210,7140,7530,7430,7570,7590,7880,7880,7720,8480,8100,8710,9530,9880,9530,9450,9680,9020,9340,9560,10100,10200,10600,11100,10300,11000,11500,11300,10800,11700,12700,12600,12800,13200,14200,14700,15100,15300,15900,16600,16200,16000,16800,15900,16900,16900,15700,15000,15300,15500,14200,15100,15300,14900,13700,13400,14500,15600,16600,17400,16700,17500,18700,19300,18500,18200,17200,15200,16400,17700,19100,20500,22200,22900,21300,23400,24600,24000,24300,23500,23900,23100,23500,22700,22000,19600,21500,22400,21800,21000,21900,22600,23200,23800,24400,24000,24500,25000,25600,26100,26600,27100,27700,28200,28800,29300,29900,30400,31000,31600,32100,32700,33300,33900,34500,35100,35700,36300,36900,37500,38100,38700,39300,39900,40500,41100,41800,42400,43000,43600,44200,44900,45500,46100,46700,47300,47900,48600,49200,49800,50400,51000,51600,52200,52800,53400,54000,54600,55200,55800,56300,56900,57500,58100,58600,59200,59700,60300,60800,61400,61900,62500,63000,63500,64000,64500
Armenia,Europe,"2,973,840","28,470",588,590,591,593,595,596,598,600,602,604,606,609,611,613,615,618,620,622,625,627,630,634,639,644,649,654,659,664,669,675,680,686,692,697,702,708,714,719,725,731,737,744,750,756,762,768,775,782,788,795,802,809,816,823,830,838,845,852,859,868,875,883,892,899,907,916,924,932,941,950,959,968,977,986,995,1010,1010,1020,1030,1040,1050,1060,1070,1090,1100,1110,1090,1250,1210,1130,1130,1030,1130,1290,1470,1360,1500,1480,1530,1620,1590,1630,1780,1660,1840,1630,1570,1510,1650,1720,1840,1700,1840,1940,1860,1920,1870,1560,1310,1100,1040,995,1080,1180,1280,1400,1520,1660,1810,1970,2060,2080,2060,2140,2340,2680,2860,3110,3100,3240,3110,3020,2940,2860,2810,2760,2710,3020,3420,3740,4060,4010,4200,4320,4450,4750,5120,5140,5430,5280,5680,5860,5880,5630,6220,6450,6640,6810,7090,7060,7480,7510,7380,7820,7680,7540,7400,7260,7130,7000,6870,6980,7090,7060,7200,7340,7200,6700,6300,7050,6410,5460,3160,2900,3100,3320,3480,3570,3810,3920,4150,4550,5160,5870,6480,7370,8360,9530,10200,8820,9060,9540,10300,10700,11100,11500,11600,12500,13200,14300,13300,14200,16000,17500,18500,19500,20300,21200,22200,23100,22800,23300,23800,24300,24800,25300,25800,26300,26800,27400,27900,28500,29000,29600,30100,30700,31300,31800,32400,33000,33600,34200,34800,35400,36000,36600,37200,37800,38400,39000,39600,40200,40800,41500,42100,42700,43300,43900,44600,45200,45800,46400,47100,47700,48300,48900,49500,50100,50700,51400,52000,52600,53200,53800,54400,55000,55500,56100,56700,57300,57900,58400,59000,59600,60100,60700,61200,61800,62300,62800,63400
Antigua and Barbuda,North America,"93,772",440,867,867,867,867,867,867,867,868,868,868,868,868,868,868,868,868,869,869,869,869,869,875,880,887,893,899,904,911,917,923,929,935,942,948,955,962,967,974,981,988,994,1000,1010,1010,1020,1030,1030,1040,1050,1060,1060,1070,1080,1090,1090,1100,1110,1110,1120,1130,1140,1140,1150,1160,1170,1180,1180,1190,1200,1210,1220,1220,1230,1240,1250,1260,1270,1280,1280,1290,1300,1310,1320,1330,1340,1350,1360,1360,1370,1380,1390,1400,1410,1420,1430,1440,1450,1460,1470,1480,1490,1500,1510,1520,1530,1540,1550,1560,1570,1580,1590,1600,1610,1630,1670,1710,1750,1790,1840,1880,1930,1970,2020,2070,2120,2170,2230,2280,2340,2400,2460,2510,2580,2640,2700,2770,2840,2910,2980,3050,3120,3190,3250,3320,3390,3460,3530,3600,3680,3750,3830,3910,3990,4070,4150,4240,4320,4410,4500,4590,4690,4830,4970,5120,5280,5440,5600,5770,5940,6120,6300,6690,7130,7700,7940,7480,6790,7260,7500,8290,8850,9290,9380,10100,11100,12100,13600,14800,15900,16900,17300,17500,17400,18000,18700,17500,18200,18800,19300,19600,20400,19100,19000,19900,20800,21800,24200,26000,25600,22100,20100,19400,19900,19600,19900,20000,20700,21000,22400,22900,18500,19900,21700,22400,23400,24000,24400,24700,25200,25600,24900,25400,25900,26400,27000,27500,28000,28600,29100,29700,30200,30800,31400,32000,32500,33100,33700,34300,34900,35500,36100,36700,37300,37900,38500,39200,39800,40400,41000,41600,42200,42900,43500,44100,44700,45400,46000,46600,47200,47900,48500,49100,49700,50300,50900,51500,52200,52800,53400,54000,54600,55200,55700,56300,56900,57500,58100,58600,59200,59800,60300,60900,61400,62000,62500,63000,63600,64100,64600,65100,65600
Australia,Oceania,"26,713,205","7,682,300",821,826,830,835,840,845,849,854,859,864,869,873,878,883,888,893,898,903,908,914,945,955,982,1010,1070,1120,1140,1180,1210,1280,1550,1600,1630,1640,1730,2090,2050,2150,2130,1980,2510,2140,1950,2260,2570,2640,2920,3380,3870,3820,3600,4280,5020,5490,4810,4560,5570,4920,4190,5410,5280,5200,5000,4980,5280,5040,5190,5670,5760,5650,5970,6020,6480,6980,7000,7550,7310,7360,7800,7670,7820,8130,7410,8160,7850,8070,7900,8450,8220,8660,8130,8510,7290,6760,6870,6360,6720,6240,7100,7010,7320,7000,6980,7440,7840,7810,8220,8420,8560,9090,9510,9310,9300,9410,9170,8940,8900,8740,8400,8600,8700,8960,9240,9470,9880,10100,10200,10100,9950,9600,8590,7940,8330,8830,9230,9700,10100,10500,10700,10700,11200,12400,13700,14100,13500,12700,12100,12200,12800,13300,13600,13700,13500,13800,14400,14800,14800,14800,15300,15900,16100,15900,16600,17300,18100,18500,18900,19700,20500,21400,22000,22500,22700,23500,23600,23900,24500,24500,25000,25700,26100,26700,26200,25800,27200,28300,28500,29500,30200,31100,31100,30600,30600,31600,32600,33500,34400,35300,36600,38000,39000,39300,40400,41100,42300,43100,43600,44400,45000,44800,45000,45500,46400,46800,47400,47700,48300,48600,49200,49600,48800,49800,51200,51600,51800,52300,52900,53700,54500,55400,54200,54800,55400,56000,56600,57200,57700,58300,58900,59400,60000,60600,61100,61700,62200,62800,63300,63800,64300,64900,65400,65900,66400,66900,67400,67900,68300,68800,69300,69700,70200,70600,71100,71500,72000,72400,72800,73200,73600,74000,74400,74800,75200,75600,76000,76300,76700,77000,77400,77700,78100,78400,78700,79100,79400,79700,80000,80300,80600,80900,81200,81500,81700,82000,82300,82500,82800,83100,83300,83500,83800
Austria,Europe,"9,120,813","82,409",1940,1950,1960,1970,1970,1980,1990,2000,2010,2010,2020,2040,2060,2080,2100,2120,2140,2160,2180,2200,2220,2250,2280,2320,2350,2380,2410,2450,2480,2520,2550,2570,2590,2610,2640,2660,2680,2700,2720,2740,2760,2790,2810,2840,2860,2880,2910,2930,2960,2980,3010,3030,3060,3080,3100,3130,3150,3170,3200,3220,3240,3260,3270,3290,3310,3320,3340,3350,3370,3380,3400,3610,3610,3490,3610,3600,3650,3740,3830,3770,3790,3910,3900,4030,4100,4040,4140,4390,4340,4260,4460,4570,4630,4610,4830,4900,4930,4980,5210,5270,5260,5230,5370,5370,5390,5640,5790,6090,6060,5980,6000,6140,6400,6320,5250,4840,4790,4720,4660,4120,4400,4840,5250,5190,5770,6140,6230,6400,6670,6750,6540,6000,5360,5170,5200,5300,5460,5760,6490,7470,7220,7720,7320,7500,7690,3210,3650,4060,5200,6210,7020,7520,7550,7890,8690,9670,10300,11000,11400,11700,12700,13300,13600,14100,14900,15300,16100,16500,17200,18300,19600,20500,21800,22800,23700,23700,24900,26200,26300,27800,28500,28500,29100,30100,30200,31000,31800,32400,33000,34300,35600,36600,37100,37100,38000,39100,40100,41000,42600,44200,45700,46200,46900,47200,48300,49200,50700,52600,53300,51200,52100,53500,53600,53300,53200,53200,53600,54500,55500,56100,52100,54100,56200,55200,55200,56000,56600,57200,58200,59300,58000,58600,59100,59700,60200,60800,61300,61900,62400,62900,63400,63900,64500,65000,65500,66000,66400,66900,67400,67900,68300,68800,69200,69700,70100,70600,71000,71400,71800,72300,72700,73100,73500,73900,74200,74600,75000,75400,75700,76100,76400,76800,77100,77400,77800,78100,78400,78700,79000,79300,79600,79900,80200,80500,80700,81000,81300,81500,81800,82100,82300,82500,82800,83000,83200,83500,83700,83900,84100,84300,84500
